community,n_students,student_ids,std_n_right_questions,mean_n_submissions,std_n_submissions,n_students_right,n_submissions_right,p_submissions_right,mean_mean_question_times,std_mean_question_times
0,2,"[15, 49]",1.0,29.0,3.0,2,16.0,55.17,1835.9333333333334,272.9333333333334
1,15,"[2, 10, 16, 24, 26, 28, 32, 33, 35, 36, 38, 41, 42, 43, 45]",4.828618389928485,59.266666666666666,7.056596598612929,15,40.86666666666667,68.95,1011.637272936749,241.5211036617895
2,3,"[14, 20, 48]",0.4714045207910317,21.0,2.943920288775949,3,10.666666666666666,50.79,1664.442424242424,393.5933201557898
3,22,"[3, 4, 5, 6, 8, 9, 12, 13, 17, 21, 22, 23, 25, 27, 29, 30, 34, 39, 40, 44, 51, 56]",2.44315539097758,46.90909090909091,9.79753721795381,22,27.40909090909091,58.43,1360.0263091195204,218.09100850993414
4,8,"[7, 18, 37, 46, 50, 54, 55, 58]",2.9973947020704497,32.875,18.05849869175176,8,17.375,52.85,2063.1742311507933,564.0001941043772
5,9,"[0, 1, 11, 19, 31, 47, 52, 53, 57]",4.08248290463863,20.11111111111111,7.6368179010842585,9,10.666666666666666,53.04,2111.88142023191,896.929150203323
