student_id,exercise_id,is_correct,spent_time
19,2,True,210
14,2,True,315
1,2,True,358
38,2,False,298
22,2,False,371
23,2,True,385
26,2,False,347
1,1,False,479
38,2,False,392
26,2,True,403
30,2,False,498
27,2,True,537
30,2,False,562
14,1,True,570
38,2,True,490
28,2,True,550
19,1,True,612
23,1,True,608
22,2,True,664
3,2,True,661
38,1,False,644
15,2,True,733
37,2,False,652
18,2,True,782
36,2,False,786
35,2,True,730
26,1,False,712
19,4,True,794
27,1,True,850
37,2,False,762
23,4,True,831
32,2,False,734
41,2,True,805
26,1,True,792
15,1,True,889
32,2,False,768
44,2,False,631
38,4,True,884
37,2,False,887
30,2,True,979
36,2,False,999
50,2,True,1028
36,2,False,1038
32,2,False,886
1,1,True,1068
34,2,False,964
46,2,True,1019
1,4,True,1096
36,2,False,1094
21,2,False,614
19,3,False,1089
38,1,True,1035
10,2,True,1053
41,1,True,1081
42,2,True,1065
3,1,True,1111
27,4,True,1193
21,2,False,693
36,2,True,1189
23,3,False,1139
26,4,True,1098
44,2,True,913
49,2,True,1157
30,1,False,1249
32,2,False,1114
24,2,False,1193
22,1,True,1244
35,1,True,1211
47,2,False,1214
19,3,False,1273
0,2,True,1143
48,2,True,1358
39,2,True,1320
30,1,True,1335
41,4,True,1271
17,2,True,1385
47,2,True,1292
28,1,True,1318
54,2,True,1223
46,1,True,1370
36,1,False,1447
14,4,True,1471
4,2,True,1426
37,2,True,1390
9,2,True,1522
36,1,False,1522
3,4,True,1471
38,3,False,1459
33,2,True,1582
23,0,True,1509
30,4,False,1557
1,3,False,1614
54,1,False,1406
35,4,True,1530
17,1,True,1648
30,4,False,1622
34,2,False,1556
41,3,False,1574
18,1,True,1674
27,3,True,1687
30,4,True,1694
28,4,True,1644
36,1,True,1715
19,0,True,1695
20,2,True,951
47,1,True,1658
50,1,True,1751
42,1,True,1662
39,1,True,1749
51,2,False,1496
26,3,False,1721
24,1,True,1742
49,1,True,1750
38,0,True,1745
25,2,True,1768
48,1,True,1871
57,2,False,1797
23,3,True,1806
41,3,False,1779
14,3,True,1869
41,3,False,1813
54,4,False,1719
9,1,True,1938
7,2,False,1883
34,2,False,1858
1,3,False,1977
4,1,True,1904
16,2,True,1800
24,2,False,1885
11,2,True,1933
56,2,False,1863
17,4,True,2044
37,1,True,1936
29,2,False,1942
3,3,True,1996
26,3,False,1956
24,2,True,1978
36,4,False,2077
10,1,True,1998
20,1,True,1310
51,2,True,1779
29,1,False,1997
0,1,True,1940
18,4,True,2115
7,2,True,2061
30,3,False,2119
15,4,False,2128
41,3,True,2061
33,1,False,2166
44,1,True,1868
22,4,True,2129
35,3,True,2096
36,4,False,2170
30,3,False,2157
26,3,False,2074
47,4,True,2106
39,4,True,2166
42,4,True,2097
49,4,True,2124
28,3,False,2153
50,4,True,2253
24,4,True,2194
33,1,True,2309
46,4,True,2265
34,2,True,2232
25,1,False,2258
54,4,False,2157
30,3,False,2346
38,3,False,2274
41,0,False,2281
41,0,True,2314
4,4,True,2344
1,3,True,2425
28,3,False,2342
3,0,True,2368
37,4,False,2348
11,1,True,2400
26,3,True,2359
36,4,True,2479
25,1,True,2407
55,2,False,1566
48,4,True,2518
54,1,False,2317
30,3,False,2502
21,2,True,2064
29,2,True,2458
15,0,True,2554
14,0,True,2568
29,1,True,2490
30,3,True,2576
15,3,True,2599
37,4,True,2514
10,4,True,2529
9,4,True,2636
44,4,True,2333
28,0,True,2561
56,1,True,2510
35,0,True,2566
20,4,True,1879
24,3,True,2576
55,2,True,1734
18,3,False,2669
43,2,True,2687
22,3,True,2658
28,3,False,2668
16,1,False,2590
1,0,True,2786
0,4,True,2603
27,0,True,2786
19,3,True,2754
49,3,True,2711
50,3,True,2801
46,3,False,2764
42,3,True,2723
54,1,True,2650
54,4,True,2671
15,4,True,2881
57,1,False,2830
7,1,True,2847
58,2,False,2852
34,1,True,2812
38,3,True,2832
39,3,True,2900
58,2,True,2898
17,3,True,2972
47,3,True,2914
11,4,True,2946
30,0,True,2987
24,0,True,2976
4,3,True,3033
33,4,True,3110
26,0,True,2998
55,1,True,2188
36,3,False,3120
48,3,True,3167
18,0,True,3162
51,1,True,2855
37,3,True,3084
43,1,False,3195
54,3,False,3034
9,3,True,3264
25,4,False,3166
10,3,True,3182
28,3,True,3203
29,4,True,3173
8,2,True,3039
20,3,True,2614
50,0,True,3430
18,3,False,3442
0,3,True,3283
32,2,False,3297
44,3,True,3195
57,2,False,3432
45,2,True,2953
49,0,True,3442
36,3,False,3550
22,0,True,3519
57,1,True,3500
7,4,True,3520
36,3,False,3629
46,0,True,3612
21,1,False,3180
43,4,True,3704
54,0,True,3501
47,0,True,3635
48,0,True,3736
16,4,True,3564
39,0,True,3710
9,0,True,3753
17,0,True,3754
34,4,True,3664
36,3,False,3806
51,4,True,3497
43,1,False,3849
55,4,True,2917
18,3,True,3859
4,0,True,3802
8,1,True,3642
42,0,True,3787
29,3,True,3794
10,0,True,3891
0,0,True,3836
46,3,True,3965
36,3,False,4038
16,1,True,3905
58,1,True,4047
32,2,True,3940
32,1,True,4014
25,3,False,4105
37,0,True,4118
20,0,True,3454
36,3,False,4259
8,3,True,4051
45,4,False,3755
57,4,False,4279
33,3,True,4397
57,4,False,4333
32,4,True,4243
25,3,False,4375
59,3,False,4418
34,3,False,4379
55,3,True,3549
32,3,True,4337
8,0,True,4301
44,0,True,4244
7,3,True,4486
52,2,True,4367
54,3,True,4371
11,3,True,4518
32,0,True,4423
34,3,True,4521
51,3,True,4302
8,4,True,4438
57,2,False,4619
29,0,False,4599
43,1,True,4834
36,3,True,4914
16,3,True,4758
59,3,True,4880
11,0,True,4934
58,4,True,4947
7,0,True,4982
25,4,True,4960
29,0,True,5016
25,3,False,5041
34,0,True,5036
45,1,False,4597
52,1,True,5073
43,3,True,5314
36,0,False,5354
51,0,True,5047
57,2,False,5322
36,0,False,5406
45,1,False,4892
36,0,False,5526
55,0,False,4602
36,0,False,5563
25,3,False,5484
33,0,True,5614
36,0,True,5610
45,1,True,5068
21,4,False,5154
16,0,True,5620
25,3,True,5723
43,0,True,5903
21,1,False,5511
59,2,True,5975
57,4,True,6030
57,2,True,6039
52,4,True,5972
55,0,True,5259
21,1,True,5706
21,4,True,5744
56,3,True,6283
58,3,True,6369
23,12,True,422
38,10,False,448
19,12,True,434
30,12,False,504
24,12,True,572
