community,n_students,student_ids,std_n_right_questions,mean_n_submissions,std_n_submissions,n_students_right,n_submissions_right,p_submissions_right,mean_mean_question_times,std_mean_question_times
0,16,"[3, 6, 8, 11, 13, 16, 18, 19, 30, 31, 33, 34, 37, 38, 40, 54]",3.3517719194479807,45.1875,7.055306070610969,16,29.625,65.56,1445.6380671155755,233.2037051567332
1,13,"[0, 4, 7, 17, 20, 22, 27, 28, 32, 35, 45, 49, 50]",3.4896296068350017,61.61538461538461,13.814922041253695,13,41.76923076923077,67.79,993.8298290215985,142.78978981274443
2,11,"[9, 15, 21, 23, 24, 25, 29, 42, 43, 47, 51]",1.8586407545691703,32.18181818181818,4.281422487024225,11,21.0,65.25,1670.0327566280657,226.3345456102177
3,12,"[1, 2, 5, 12, 14, 26, 36, 41, 44, 48, 52, 53]",5.82141639885766,21.583333333333332,11.514182076417278,12,12.666666666666666,58.69,1955.2710833426308,748.7261063276068
