community,n_students,student_ids,mean_n_right_questions,std_n_right_questions,mean_n_submissions,std_n_submissions,mean_n_right,std_n_right,mean_n_wrong,std_n_wrong,mean_mean_question_times,std_mean_question_times
0,14,"[2, 3, 10, 11, 19, 23, 24, 26, 27, 28, 35, 38, 50, 54]","44,92857142857143","4,043765672776617","62,857142857142854","7,079720967636496","44,92857142857143","4,043765672776617","17,928571428571427","8,370563095193312","925,4748903037664","171,74241492891383"
1,11,"[14, 17, 18, 30, 36, 37, 39, 41, 42, 48, 49]","34,81818181818182","2,442732516826255","58,72727272727273","8,203002876894967","34,81818181818182","2,442732516826255","23,90909090909091","9,009636714041708","1217,2818545081793","175,0560151872919"
2,13,"[0, 1, 4, 9, 15, 22, 29, 32, 43, 44, 46, 47, 58]","25,53846153846154","2,2400338120863132","41,69230769230769","6,329231517145911","25,53846153846154","2,2400338120863132","16,153846153846153","6,478914365921714","1359,3542569574352","265,77127560294434"
3,4,"[16, 33, 34, 51]","15,75","0,82915619758885","26,25","5,717298313014636","15,75","0,82915619758885","10,5","5,220153254455275","2333,538112745098","176,48108011103005"
4,2,"[21, 52]","7,5","0,5","17,0","4,0","7,5","0,5","9,5","4,5","2864,75","6,75"
5,2,"[6, 12]","30,5","1,5","44,0","4,0","30,5","1,5","13,5","5,5","1116,2036637931035","125,14116379310349"
6,14,"[5, 7, 8, 13, 20, 25, 31, 40, 45, 55, 56, 57, 59, 60]","10,857142857142858","7,557939466520742","21,857142857142858","11,587290715367807","10,857142857142858","7,557939466520742","11,0","6,25642526870234",,
