timestamp,student_id,exercise_id,is_correct,spent_time
1652440345,45,2,True,485
1652440446,32,2,True,579
1652440481,3,2,True,474
1652440618,27,2,True,604
1652440633,45,1,True,773
1652440660,22,2,True,757
1652440669,4,2,False,639
1652440735,4,2,True,705
1652440740,32,1,True,873
1652440747,35,2,False,872
1652440782,49,2,False,879
1652440826,28,2,True,906
1652440887,12,2,True,710
1652440911,49,2,False,1008
1652440923,23,2,False,1020
1652440924,13,2,True,914
1652440955,6,2,True,968
1652440968,49,2,False,1065
1652440984,45,4,True,1124
1652440985,35,2,False,1110
1652440992,4,1,True,962
1652441000,32,4,True,1133
1652441010,37,2,True,1009
1652441061,49,2,False,1158
1652441084,35,2,False,1209
1652441088,44,2,False,1193
1652441095,18,2,False,1074
1652441144,29,2,False,1252
1652441148,22,1,True,1245
1652441167,27,1,False,1153
1652441181,11,2,True,1226
1652441191,15,2,True,1235
1652441196,31,2,False,1331
1652441205,40,2,False,1167
1652441217,34,2,False,1275
1652441231,49,2,False,1328
1652441232,41,2,True,1251
1652441250,47,2,True,1310
1652441257,3,1,True,1250
1652441277,40,2,False,1239
1652441294,32,3,False,1427
1652441312,43,2,False,1371
1652441354,4,4,False,1324
1652441369,35,2,True,1494
1652441372,40,2,True,1334
1652441380,49,2,True,1477
1652441385,5,2,False,1380
1652441407,19,2,True,1492
1652441462,22,4,False,1559
1652441463,20,2,True,1480
1652441481,0,2,True,1547
1652441486,11,1,True,1531
1652441491,29,2,True,1599
1652441496,6,1,True,1509
1652441501,15,1,True,1545
1652441544,49,1,False,1641
1652441553,34,2,True,1611
1652441556,50,2,True,1550
1652441570,23,2,False,1667
1652441572,54,2,True,1592
1652441578,24,2,True,1689
1652441592,37,1,True,1591
1652441610,12,1,False,1433
1652441625,5,2,True,1620
1652441629,32,0,True,1762
1652441658,47,1,True,1718
1652441660,33,2,True,1678
1652441662,8,2,False,1741
1652441670,40,1,False,1632
1652441725,50,1,True,1719
1652441726,17,2,False,841
1652441741,13,1,False,1731
1652441758,4,3,False,1728
1652441760,41,1,True,1779
1652441768,3,4,True,1761
1652441786,30,2,True,1795
1652441789,7,2,True,1588
1652441805,4,4,False,1775
1652441823,45,3,True,1963
1652441838,40,1,True,1800
1652441844,18,2,True,1823
1652441851,32,3,False,1984
1652441867,20,1,True,1884
1652441881,11,4,True,1926
1652441900,28,1,True,1980
1652441903,50,4,True,1897
1652441925,8,2,True,2004
1652441925,36,2,False,1930
1652441927,23,2,True,2024
1652441929,22,3,False,2026
1652441929,37,4,False,1928
1652441934,16,2,False,1954
1652441936,32,3,True,2069
1652441936,6,4,True,1949
1652441957,12,4,False,1780
1652441963,25,2,True,1906
1652441981,0,1,True,2047
1652442000,15,4,True,2044
1652442068,44,2,True,2173
1652442093,4,4,True,2063
1652442093,17,1,True,1208
1652442108,13,4,True,2098
1652442121,22,4,True,2218
1652442122,29,1,True,2230
1652442149,3,3,True,2142
1652442156,41,4,True,2175
1652442170,49,1,True,2267
1652442187,1,2,True,2099
1652442200,12,1,True,2023
1652442204,13,1,True,2194
1652442205,24,1,True,2316
1652442211,12,4,True,2034
1652442212,35,1,True,2337
1652442216,27,4,False,2202
1652442222,23,1,False,2319
1652442296,31,2,False,2431
1652442297,11,3,True,2342
1652442298,50,3,False,2292
1652442305,34,1,False,2363
1652442307,40,4,True,2269
1652442308,47,4,True,2368
1652442309,43,2,True,2368
1652442360,31,2,False,2495
1652442361,17,2,False,1476
1652442390,28,4,True,2470
1652442395,33,1,True,2413
1652442401,7,1,True,2200
1652442407,19,1,True,2492
1652442416,31,1,False,2551
1652442419,8,1,False,2498
1652442420,44,1,True,2525
1652442422,0,4,True,2488
1652442430,30,1,False,2439
1652442440,22,3,False,2537
1652442441,49,4,True,2538
1652442450,9,2,True,2540
1652442476,1,1,True,2388
1652442478,30,1,True,2487
1652442494,29,4,True,2602
1652442503,27,1,False,2489
1652442522,6,3,True,2535
1652442525,4,3,False,2495
1652442554,51,2,True,2559
1652442567,37,4,True,2566
1652442576,15,3,True,2620
1652442616,45,0,True,2756
1652442629,52,2,False,2729
1652442677,35,4,True,2802
1652442688,27,4,False,2674
1652442696,11,0,True,2741
1652442700,36,1,False,2705
1652442736,18,1,True,2715
1652442758,34,4,True,2816
1652442775,17,4,True,1890
1652442780,16,2,True,2800
1652442789,44,4,True,2894
1652442797,2,2,True,2371
1652442806,43,1,True,2865
1652442808,7,4,True,2607
1652442835,41,3,False,2854
1652442862,49,3,False,2959
1652442863,37,3,True,2862
1652442872,8,4,False,2951
1652442877,20,4,True,2894
1652442879,23,1,True,2976
1652442891,23,4,True,2988
1652442896,52,2,True,2996
1652442921,24,4,True,3032
1652442924,19,4,True,3009
1652442939,34,1,True,2997
1652442951,4,0,True,2921
1652442973,36,2,False,2978
1652442987,31,2,False,3122
1652443009,4,3,False,2979
1652443026,31,1,True,3161
1652443053,38,2,True,3038
1652443060,40,3,False,3022
1652443076,8,1,True,3155
1652443092,27,1,True,3078
1652443093,6,0,True,3106
1652443093,54,1,True,3113
1652443095,3,0,True,3088
1652443101,12,3,True,2924
1652443106,1,4,True,3018
1652443146,5,4,False,3141
1652443163,33,4,True,3181
1652443171,30,4,True,3180
1652443182,36,1,False,3187
1652443210,43,4,True,3269
1652443224,16,1,False,3244
1652443226,22,0,True,3323
1652443251,31,2,False,3386
1652443257,47,3,True,3317
1652443262,25,1,True,3205
1652443266,50,0,True,3260
1652443271,5,1,True,3266
1652443295,29,3,True,3403
1652443303,41,3,False,3322
1652443319,18,4,True,3298
1652443321,21,2,False,3376
1652443324,28,3,False,3404
1652443369,22,3,True,3466
