filtering_parameter,n_edges,modularity,criterion
"0,0",1704,"0,020652666324543212","8,427304905390955"
"0,05",1694,"0,020987012283365775","8,427304905390955"
"0,1",1632,"0,021517526454333857","7,802316843414797"
"0,15000000000000002",1544,"0,02526493418029821","7,802316843414797"
"0,2",1426,"0,032912075589806106","7,715016530583777"
"0,25",1339,"0,03485033721244345","7,479201313939891"
"0,30000000000000004",1237,"0,032595609597873665","8,090320396393414"
"0,35000000000000003",1159,"0,04516210650430366","7,662467274478703"
"0,4",1064,"0,05939941261739776","7,386876044996523"
"0,45",960,"0,07051668205541219","5,43416585693342"
"0,5",868,"0,07572069098923565","5,326506627623303"
"0,55",715,"0,09807106776915084","5,927100335604215"
"0,6000000000000001",605,"0,13118340200290418","5,756092594527525"
"0,65",460,"0,17180941993867538","3,888223218302293"
"0,7000000000000001",357,"0,19438353454403812","4,970140915039433"
"0,75",235,"0,27233617073716077","3,6176253013109223"
"0,8",152,"0,2507607161042389","5,8761379734712165"
"0,8500000000000001",65,"0,3096549953752791","6,201103582259373"
"0,9",19,"0,272840558604318","9,387585983029103"
"0,9500000000000001",1,"0,0","12,653447695425447"
"1,0",0,,"13,370915625325763"
"1,05",0,,"13,370915625325763"
