year,exercise_id,n_students,percentage_students
2022,1,47,"0,9038461538461539"
2022,2,48,"0,9230769230769231"
2022,3,40,"0,7692307692307693"
2022,4,47,"0,9038461538461539"
2022,5,47,"0,9038461538461539"
2022,7,48,"0,9230769230769231"
2022,8,24,"0,46153846153846156"
2022,9,38,"0,7307692307692307"
2022,10,24,"0,46153846153846156"
2022,11,46,"0,8846153846153846"
2022,13,45,"0,8653846153846154"
2022,14,41,"0,7884615384615384"
2022,15,22,"0,4230769230769231"
2022,18,37,"0,7115384615384616"
2022,20,20,"0,38461538461538464"
2022,21,23,"0,4423076923076923"
2022,22,16,"0,3076923076923077"
2022,24,21,"0,40384615384615385"
2022,31,41,"0,7884615384615384"
2022,35,39,"0,75"
2022,37,4,"0,07692307692307693"
2022,38,36,"0,6923076923076923"
2022,39,35,"0,6730769230769231"
2022,40,8,"0,15384615384615385"
2022,41,23,"0,4423076923076923"
2022,42,35,"0,6730769230769231"
2022,43,44,"0,8461538461538461"
2022,44,24,"0,46153846153846156"
2022,45,12,"0,23076923076923078"
2022,46,10,"0,19230769230769232"
2022,47,41,"0,7884615384615384"
2022,49,37,"0,7115384615384616"
2022,54,39,"0,75"
2022,55,38,"0,7307692307692307"
2022,56,30,"0,5769230769230769"
2022,57,11,"0,21153846153846154"
2022,58,4,"0,07692307692307693"
2022,59,11,"0,21153846153846154"
2022,60,20,"0,38461538461538464"
2022,61,28,"0,5384615384615384"
2022,62,31,"0,5961538461538461"
2022,63,34,"0,6538461538461539"
2022,64,7,"0,1346153846153846"
2022,71,23,"0,4423076923076923"
2022,72,7,"0,1346153846153846"
2022,73,37,"0,7115384615384616"
2022,74,19,"0,36538461538461536"
2023,0,44,"0,7333333333333333"
2023,1,51,"0,85"
2023,2,51,"0,85"
2023,3,48,"0,8"
2023,4,49,"0,8166666666666667"
2023,10,47,"0,7833333333333333"
2023,11,36,"0,6"
2023,12,50,"0,8333333333333334"
2023,13,41,"0,6833333333333333"
2023,14,46,"0,7666666666666667"
2023,15,17,"0,2833333333333333"
2023,16,32,"0,5333333333333333"
2023,17,17,"0,2833333333333333"
2023,18,37,"0,6166666666666667"
2023,19,27,"0,45"
2023,20,48,"0,8"
2023,21,21,"0,35"
2023,22,29,"0,48333333333333334"
2023,23,16,"0,26666666666666666"
2023,24,13,"0,21666666666666667"
2023,25,37,"0,6166666666666667"
2023,31,47,"0,7833333333333333"
2023,32,38,"0,6333333333333333"
2023,33,27,"0,45"
2023,34,43,"0,7166666666666667"
2023,35,43,"0,7166666666666667"
2023,36,37,"0,6166666666666667"
2023,37,6,"0,1"
2023,38,42,"0,7"
2023,39,41,"0,6833333333333333"
2023,40,18,"0,3"
2023,41,36,"0,6"
2023,42,36,"0,6"
2023,43,52,"0,8666666666666667"
2023,44,29,"0,48333333333333334"
2023,45,23,"0,38333333333333336"
2023,46,18,"0,3"
2023,47,45,"0,75"
2023,60,26,"0,43333333333333335"
2023,61,30,"0,5"
2023,62,36,"0,6"
2023,63,45,"0,75"
2023,64,6,"0,1"
2023,65,22,"0,36666666666666664"
2023,66,4,"0,06666666666666667"
2023,67,3,"0,05"
2023,68,16,"0,26666666666666666"
2023,69,38,"0,6333333333333333"
2023,70,3,"0,05"
2023,71,18,"0,3"
2023,72,6,"0,1"
2023,73,27,"0,45"
2023,74,17,"0,2833333333333333"
