year,student_id,community,community_letter,in_pseudocommunity,edge_weights,n_solved_exercises,solved_exercise_ids,solving_times,n_tried_exercises,tried_exercise_ids,trying_times,results,n_attemps,mean_edge_weights,mean_solving_times
2018,28,0,A,False,"[17, 15, 13, 13, 16]",20,"[5, 7, 9, 14, 18, 31, 33, 34, 35, 36, 42, 43, 44, 47, 54, 55, 62, 63, 73, 82]","[19.466666666666665, 14.833333333333334, 38.23333333333333, 15.866666666666665, 13.766666666666667, 5.9, 21.683333333333334, 13.466666666666669, 9.05, 8.433333333333334, 31.13333333333333, 11.05, 16.55, 11.15, 52.45, 21.48333333333333, 32.75, 18.98333333333333, 44.55, 72.60000000000002]",0,[],[],"[True, True, False, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False, True, True, False, True, True, True, True, True, False, False, True, True, True, True, True]",33,"14,8","23,67"
2018,30,0,A,False,"[18, 15, 15, 13, 15]",20,"[0, 1, 2, 3, 4, 5, 7, 8, 14, 18, 43, 47, 54, 55, 61, 63, 73, 74, 82, 99]","[19.51666666666667, 15.733333333333333, 16.816666666666666, 35.06666666666666, 11.6, 9.75, 19.816666666666666, 13.616666666666667, 17.383333333333333, 43.03333333333333, 10.75, 23.45, 41.08333333333333, 11.966666666666669, 10.566666666666666, 33.4, 80.05, 12.983333333333334, 24.233333333333334, 16.73333333333333]",5,"[9, 24, 42, 45, 62]","[27.183333333333334, 21.23333333333333, 25.583333333333332, 48.166666666666664, 17.133333333333333]","[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, True, True, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False, False, False, False, True, True, False, False, True, True, False, False, False, False, False, True, True]",103,"15,2","23,377500000000005"
2018,34,0,A,False,"[18, 22, 17, 22, 22, 17, 22, 20, 20, 25, 24, 22, 17, 24, 18, 23, 20, 17, 19]",25,"[0, 1, 2, 3, 4, 5, 7, 8, 14, 31, 33, 34, 35, 36, 38, 39, 42, 43, 47, 54, 57, 61, 63, 73, 82]","[8.366666666666667, 10.116666666666667, 16.316666666666666, 18.25, 25.633333333333333, 19.4, 12.25, 7.3, 23.133333333333333, 14.616666666666667, 31.9, 24.266666666666666, 8.833333333333334, 14.5, 35.98333333333333, 9.983333333333333, 48.58333333333333, 11.566666666666666, 46.68333333333334, 78.45, 36.81666666666666, 39.55, 12.233333333333333, 90.2, 41.75]",7,"[18, 24, 44, 59, 60, 62, 101]","[42.68333333333333, 21.200000000000003, 2.6333333333333333, 26.366666666666667, 39.083333333333336, 12.75, 15.133333333333333]","[False, False, False, False, True, True, False, True, False, True, False, True, False, True, True, True, True, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, True, False, False, True, True, True, False, True, True, True, True, False, False, False, True, False, True, True, False, True, True, False, False, False, False, False, True]",62,"20,473684210526315","27,467333333333332"
2018,35,0,A,False,"[21, 24, 18, 24, 23, 18, 25, 21, 20, 27, 26, 22, 18, 26, 21, 27, 18, 25, 21, 19, 19]",27,"[0, 1, 2, 3, 4, 5, 7, 8, 14, 31, 33, 34, 35, 36, 38, 39, 41, 43, 47, 54, 55, 60, 61, 62, 63, 73, 74]","[12.083333333333332, 27.1, 37.4, 15.7, 12.833333333333334, 23.083333333333332, 26.216666666666665, 16.516666666666666, 30.466666666666665, 9.616666666666667, 31.55, 10.8, 7.1, 8.166666666666666, 23.666666666666668, 12.65, 40.349999999999994, 68.48333333333333, 33.88333333333333, 46.516666666666666, 36.833333333333336, 15.1, 41.03333333333333, 15.45, 21.58333333333333, 57.46666666666667, 26.166666666666668]",0,[],[],"[False, True, True, False, True, False, True, False, True, True, False, True, False, False, False, False, False, True, False, True, False, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True, True, True, True, True, False, False, False, True, True]",45,"22,047619047619047","26,215432098765433"
2018,36,0,A,False,"[17, 19, 20, 20, 19, 18, 16, 15, 21, 17, 18, 16, 16, 16, 17, 17, 19]",22,"[1, 2, 4, 5, 7, 10, 14, 18, 31, 34, 35, 38, 42, 43, 47, 55, 60, 61, 62, 63, 73, 82]","[45.21666666666667, 27.366666666666664, 24.01666666666667, 8.416666666666666, 9.166666666666666, 5.116666666666666, 36.21666666666667, 12.1, 9.466666666666669, 18.3, 24.05, 21.466666666666665, 51.66666666666666, 7.466666666666667, 37.516666666666666, 82.51666666666667, 16.333333333333332, 38.9, 32.24999999999999, 17.116666666666667, 59.53333333333333, 97.66666666666669]",3,"[9, 33, 57]","[32.233333333333334, 56.73333333333333, 66.05]","[False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, True, True, True, False, False, True, False, False, True, False, True, False, False, True, True, False, True, True, True, True, True, True, False, False, False, False, False, True, False, False, True, False, False, False, False, True, True, True, True]",55,"17,705882352941178","30,99393939393939"
2018,39,0,A,False,"[17, 15, 13, 15, 16, 15, 14, 13, 16, 17]",18,"[1, 2, 3, 4, 5, 7, 14, 18, 31, 34, 43, 47, 54, 61, 62, 63, 73, 82]","[11.983333333333333, 30.083333333333336, 21.383333333333333, 28.23333333333333, 32.95, 17.133333333333333, 37.31666666666666, 31.916666666666668, 46.15, 57.83333333333333, 23.15, 59.3, 74.58333333333333, 25.966666666666665, 41.65, 32.35, 54.71666666666667, 44.11666666666667]",3,"[24, 38, 57]","[30.33333333333333, 20.766666666666666, 78.13333333333334]","[False, False, True, True, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, True, False, True, True, True, False, True, False, True, True, False, True, False, False, True, False, False, False, True, True, True, True]",46,"15,1","37,26759259259259"
2018,41,0,A,False,"[15, 12, 13, 15, 12, 15, 14, 12, 15]",18,"[0, 1, 2, 3, 4, 5, 7, 14, 18, 31, 34, 36, 43, 47, 54, 55, 73, 82]","[15.333333333333334, 30.1, 24.333333333333332, 31.116666666666667, 0.1666666666666666, 17.516666666666666, 12.65, 30.21666666666667, 28.4, 4.3, 17.28333333333333, 24.73333333333333, 17.4, 27.366666666666667, 69.4, 35.916666666666664, 44.41666666666666, 39.56666666666667]",2,"[42, 44]","[29.383333333333333, 29.616666666666667]","[False, True, False, True, True, False, False, False, True, True, True, True, False, True, True, True, True, True, False, False, False, True, False, True, False, True, True, True, True]",29,"13,666666666666666","26,123148148148147"
2018,44,0,A,False,"[17, 19, 16, 16, 16, 20, 17, 18, 15, 22, 18, 21, 16, 17, 19, 16, 15]",22,"[0, 1, 2, 3, 4, 5, 7, 8, 14, 18, 31, 34, 35, 36, 38, 39, 41, 43, 47, 60, 62, 63]","[1.3, 25.25, 16.9, 30.21666666666667, 8.916666666666666, 37.66666666666667, 6.266666666666667, 0.35, 19.366666666666667, 54.916666666666664, 28.633333333333333, 15.633333333333331, 27.616666666666667, 9.283333333333331, 13.516666666666667, 10.733333333333333, 43.06666666666667, 5.383333333333334, 15.516666666666667, 21.98333333333333, 22.216666666666665, 15.9]",6,"[9, 10, 33, 42, 44, 82]","[8.4, 16.816666666666666, 28.65, 76.36666666666667, 12.216666666666667, 23.33333333333333]","[True, False, True, True, False, False, True, True, True, False, False, False, False, True, False, False, False, True, False, True, False, False, True, False, True, False, False, False, True, False, False, False, False, False, True, False, False, True, True, True, False, True, True, True, True, True, True]",47,"17,529411764705884","19,574242424242417"
2018,48,0,A,False,"[14, 14]",16,"[0, 1, 2, 4, 7, 31, 33, 34, 35, 42, 43, 47, 60, 61, 62, 63]","[13.95, 14.933333333333334, 21.68333333333333, 24.35, 25.31666666666667, 18.03333333333333, 16.083333333333332, 19.550000000000004, 10.333333333333334, 33.53333333333333, 44.63333333333333, 11.616666666666667, 39.0, 20.166666666666668, 21.75, 26.18333333333333]",6,"[3, 5, 14, 36, 38, 101]","[16.916666666666668, 31.516666666666666, 32.8, 15.85, 98.8, 11.716666666666669]","[False, True, False, False, True, False, True, False, False, True, False, False, False, False, True, False, False, True, False, True, True, True, False, True, True, True, False, False, False, False, True, True, True, True]",34,"14,0","22,569791666666667"
2018,49,0,A,False,"[18, 19, 15, 17, 16, 15, 13, 18, 16, 14, 14, 17, 14, 16]",20,"[0, 1, 2, 3, 4, 7, 14, 18, 31, 34, 35, 36, 43, 47, 55, 60, 61, 62, 63, 107]","[15.416666666666668, 6.783333333333333, 13.899999999999999, 41.41666666666667, 21.016666666666666, 65.76666666666667, 7.4, 87.08333333333333, 38.45, 14.483333333333333, 7.1, 28.58333333333333, 10.116666666666667, 75.06666666666666, 77.91666666666667, 11.516666666666667, 12.683333333333334, 64.7, 9.7, 2.8]",3,"[8, 10, 101]","[18.65, 8.233333333333333, 17.466666666666665]","[True, False, True, True, False, False, False, True, True, True, True, False, True, True, False, False, True, False, False, False, True, False, True, True, True, True, False, True, False, True, True, True, True]",33,"15,857142857142858","30,595"
2018,52,0,A,False,"[17, 20, 18, 21, 21, 18, 18, 21, 19, 17, 17, 24, 24, 20, 21, 17, 24, 19, 18, 18]",25,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 31, 33, 34, 35, 38, 39, 41, 43, 55, 57, 62, 63, 73, 82]","[12.266666666666667, 10.45, 44.73333333333333, 20.4, 6.2, 11.116666666666667, 11.766666666666667, 15.716666666666669, 42.91666666666666, 10.133333333333333, 21.1, 5.616666666666666, 17.333333333333332, 16.866666666666667, 2.4166666666666665, 21.4, 1.0666666666666669, 33.35, 15.183333333333334, 57.36666666666667, 45.65, 40.016666666666666, 29.650000000000002, 70.75, 80.78333333333332]",6,"[36, 47, 54, 60, 74, 101]","[51.8, 91.01666666666665, 33.266666666666666, 23.933333333333334, 13.700000000000001, 15.399999999999999]","[False, False, True, True, True, False, True, False, True, True, True, True, True, False, False, True, False, False, False, True, True, False, False, False, False, False, False, True, False, True, True, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, True, True, False, False, False, False, False, True, True, False, False, False, False, False, False, True, False, False]",76,"19,6","25,77"
2018,56,0,A,False,"[21, 17, 19, 17, 16, 16, 18, 17]",21,"[1, 2, 4, 5, 7, 14, 18, 31, 33, 34, 38, 39, 41, 43, 54, 60, 61, 62, 63, 73, 82]","[23.633333333333333, 32.28333333333333, 11.533333333333331, 40.25, 23.75, 24.516666666666666, 81.05, 36.68333333333332, 35.766666666666666, 30.6, 30.85, 11.466666666666669, 56.0, 19.816666666666663, 105.25, 28.0, 21.6, 18.933333333333334, 31.08333333333333, 92.01666666666668, 26.48333333333333]",2,"[44, 74]","[73.31666666666666, 16.116666666666667]","[False, False, True, False, True, True, True, True, False, True, True, False, False, True, True, False, False, True, False, False, False, True, False, True, True, True, True, True, True, True, True, True, False, False, True, False]",36,"17,625","37,21746031746032"
2018,57,0,A,False,"[18, 21, 15, 21, 21, 15, 21, 20, 17, 17, 16, 15, 22, 19, 19, 19, 17, 15, 15, 16, 18, 17]",22,"[1, 2, 3, 4, 7, 14, 18, 31, 33, 34, 35, 38, 42, 43, 47, 54, 55, 61, 62, 63, 73, 82]","[15.066666666666666, 27.48333333333333, 24.28333333333333, 17.583333333333332, 31.033333333333328, 19.7, 39.66666666666666, 11.6, 49.96666666666667, 19.71666666666667, 10.116666666666667, 25.216666666666665, 14.683333333333334, 22.8, 44.36666666666667, 73.15, 33.25, 44.84999999999999, 6.883333333333334, 28.28333333333333, 58.35, 35.233333333333334]",2,"[24, 36]","[31.316666666666663, 12.866666666666667]","[True, False, True, False, True, True, False, False, False, True, True, True, True, False, True, False, True, True, True, False, True, True, False, True, True, True, False, False, True, False, True, False, True, True, True]",35,"17,90909090909091","29,694696969696967"
2018,1,1,B,False,"[33, 34, 29, 27, 27, 37, 35, 32, 27, 31, 30, 31, 28, 36]",39,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 35, 36, 38, 39, 42, 43, 44, 45, 47, 57, 59, 60, 61, 62, 63, 64, 71, 74, 82, 99, 101, 104]","[5.5, 8.266666666666667, 15.816666666666666, 5.4, 3.3833333333333333, 6.35, 6.533333333333333, 6.95, 19.833333333333332, 22.883333333333333, 21.633333333333336, 7.183333333333334, 10.016666666666667, 18.616666666666667, 7.166666666666667, 9.283333333333331, 3.333333333333333, 4.116666666666666, 13.016666666666667, 39.0, 27.966666666666665, 34.4, 8.816666666666666, 27.78333333333333, 17.1, 8.066666666666666, 8.266666666666666, 11.166666666666666, 17.6, 28.1, 9.216666666666669, 13.383333333333333, 40.516666666666666, 56.016666666666666, 16.416666666666668, 7.333333333333333, 19.5, 26.366666666666667, 21.6]",2,"[46, 73]","[10.95, 28.166666666666668]","[True, True, True, True, True, True, True, False, False, False, True, False, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True, False, True, False, False, True, True]",53,"31,214285714285715","16,253846153846155"
2018,3,1,B,False,"[33, 36, 26, 24, 24, 35, 32, 28, 24, 29, 27, 24, 29, 25, 32]",36,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 46, 47, 59, 71, 73, 74, 82, 99, 101, 104]","[4.366666666666666, 2.3833333333333333, 2.4833333333333334, 5.616666666666666, 2.6666666666666665, 6.266666666666667, 3.65, 8.9, 6.65, 4.883333333333334, 6.833333333333333, 4.166666666666667, 9.8, 11.783333333333331, 3.033333333333333, 25.916666666666668, 2.9833333333333334, 2.45, 10.166666666666666, 12.266666666666666, 12.166666666666666, 13.85, 35.099999999999994, 3.8666666666666663, 31.8, 6.516666666666667, 9.783333333333331, 5.766666666666667, 12.683333333333334, 25.016666666666666, 35.266666666666666, 14.716666666666669, 11.65, 12.083333333333334, 24.23333333333333, 9.65]",2,"[57, 67]","[56.38333333333334, 30.516666666666666]","[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, False, False, False, False, False, False, False, False, True, True, True, True, True, False, True, True, True, False, False, True, False, False, True, False, True, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False]",62,"28,533333333333335","11,15046296296296"
