year,r-squared_mean_ns_solved_exercises_mean_ns_attemps,r-squared_mean_ns_solved_exercises_mean_means_edge_weights,r-squared_mean_ns_solved_exercises_mean_mean_solving_times
2018,"0,9608676133519476","0,9858262598584623","-0,8403556092750474"
2019,"0,9902693355147805","0,9666709690196816","-0,896343791696451"
2021,"0,9930075096030448","0,9587764551382524","-0,7539314967424288"
2022,"0,9932337921275431","0,9782981909235824","-0,9704059989176788"
2023,"0,9843249482368505","0,9729220497384681","-0,9349973245838011"
