year,community_letter,community,is_pseudocommunity,n_students,student_ids,n_students_with_solved_exercises,n_solved_exercises,solved_exercise_ids,mean_ns_solved_exercises,std_ns_solved_exercises,mean_ns_students_solved_each_exercise,std_ns_students_solved_each_exercise,mean_means_edge_weights,std_means_edge_weights,n_tried_exercises,tried_exercise_ids,mean_ns_tried_exercises,std_ns_tried_exercises,n_attemps,mean_ns_attemps,std_ns_attemps,n_correct_attemps,mean_ns_correct_attemps,std_ns_correct_attemps,mean_ps_correct_attemps_min_one,std_ps_correct_attemps_min_one,mean_mean_solving_times,std_mean_solving_times
2019,E,1,False,3,"[14, 20, 48]",3,15,"[0, 1, 2, 3, 4, 5, 34, 7, 8, 9, 43, 14, 18, 82, 24]","10,666666666666666","0,4714045207910317","2,1333333333333333","0,8844332774281065","8,0","0,0",2,"[14, 22]","0,6666666666666666","0,9428090415820634",63,"21,0","2,943920288775949",32,"10,666666666666666","0,4714045207910317","0,5155228758169935","0,054156253003844954","27,307222222222222","6,348161760218834"
2019,F,2,False,2,"[15, 49]",2,20,"[0, 1, 2, 3, 4, 7, 14, 18, 31, 32, 34, 36, 43, 44, 47, 55, 56, 62, 63, 73]","16,0","1,0","1,6","0,48989794855663565","12,0","0,0",6,"[5, 73, 9, 42, 41, 14]","3,0","2,0",58,"29,0","3,0",32,"16,0","1,0","0,5540865384615384","0,022836538461538436","29,94555555555555","3,945555555555556"
2021,A,3,False,13,"[0, 5, 14, 17, 18, 19, 21, 24, 28, 29, 35, 37, 38]",13,51,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 22, 24, 25, 31, 33, 35, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 71, 72, 73, 74, 82, 101]","42,61538461538461","3,752711051584759","10,862745098039216","2,842393411822862","36,572810070773876","2,6476206209015585",20,"[5, 10, 15, 20, 22, 24, 45, 55, 57, 58, 59, 61, 62, 63, 64, 65, 67, 68, 73, 74]","2,3846153846153846","2,271511240035908",889,"68,38461538461539","17,744071432619887",554,"42,61538461538461","3,752711051584759","0,6576062090648543","0,14412814363409476","16,30651773864186","2,6412371618570187"
2021,B,0,False,11,"[2, 6, 7, 8, 9, 10, 26, 33, 39, 40, 43]",10,45,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 22, 24, 25, 31, 33, 35, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 59, 61, 62, 63, 65, 68, 69, 71, 73, 74, 82, 101]","27,181818181818183","9,232533207169505","6,644444444444445","3,0048520433573986","23,40351707116413","8,102452494649473",25,"[2, 5, 8, 9, 10, 15, 42, 44, 46, 47, 49, 55, 56, 57, 59, 60, 61, 62, 63, 65, 69, 71, 72, 73, 101]","4,181818181818182","2,9792672014861705",510,"46,36363636363637","15,60461893900024",299,"27,181818181818183","9,232533207169505","0,5490371537983939","0,2054860751788873","19,504478530053582","4,942587007409752"
2021,C,6,True,11,"[1, 3, 15, 16, 22, 23, 25, 32, 36, 42, 49]",11,38,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 22, 24, 25, 31, 33, 35, 42, 43, 44, 45, 46, 47, 49, 54, 55, 63, 65, 68, 69, 82, 101]","12,0","6,381792281739725","3,473684210526316","2,313994519682169","0,0","0,0",23,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 18, 22, 43, 47, 54, 55, 56, 65, 67, 68, 69, 73]","3,272727272727273","1,8136306675690912",290,"26,363636363636363","10,40343236430543",132,"12,0","6,381792281739725","0,43119475592033996","0,11797257092061017","32,09049445221121","11,422317971856716"
2021,D,2,False,4,"[20, 31, 45, 47]",3,7,"[1, 2, 4, 5, 7, 43, 11]","3,75","2,165063509461097","2,142857142857143","0,8329931278350429","3,0","1,7320508075688772",4,"[25, 2, 3, 13]","1,0","0,7071067811865476",31,"7,75","4,322904116447646",15,"3,75","2,165063509461097","0,39129273504273504","0,24225810172344392","42,169999999999995","7,2416148188912395"
2021,E,1,False,3,"[11, 13, 41]",3,15,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 42, 13, 14, 43, 47]","11,0","0,816496580927726","2,2","0,9092121131323905","9,0","0,0",3,"[8, 9, 10]","1,3333333333333333","0,9428090415820634",62,"20,666666666666668","2,8674417556808756",33,"11,0","0,816496580927726","0,5468020541549953","0,1127227438871754","21,588367003367","5,109912425536825"
2021,F,4,False,2,"[4, 30]",2,22,"[0, 1, 2, 4, 5, 7, 11, 13, 14, 18, 25, 31, 35, 42, 43, 47, 49, 65, 69, 73, 74, 82]","17,0","0,0","1,5454545454545454","0,49792959773196915","12,0","0,0",3,"[3, 68, 101]","2,0","0,0",70,"35,0","0,0",34,"17,0","0,0","0,4857142857142857","0,0","29,143627450980393","3,9848039215686306"
2021,G,5,False,2,"[27, 44]",2,4,"[11, 5, 14, 7]","3,5","0,5","1,75","0,4330127018922193","3,0","0,0",4,"[1, 2, 4, 13]","2,5","1,5",21,"10,5","5,5",7,"3,5","0,5","0,425","0,175","27,843055555555555","1,3680555555555536"
2022,A,2,False,16,"[9, 15, 16, 19, 21, 23, 24, 25, 29, 31, 34, 42, 43, 47, 51, 53]",16,39,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 15, 18, 20, 21, 24, 31, 35, 38, 39, 41, 42, 43, 44, 46, 47, 49, 54, 55, 56, 57, 59, 60, 61, 62, 63, 71, 73, 74]","21,8125","2,5792137852454187","8,948717948717949","4,981755009203998","17,891548555611053","2,2104062361168966",18,"[35, 3, 8, 9, 10, 41, 46, 14, 15, 49, 18, 20, 54, 55, 56, 22, 61, 63]","1,75","1,479019945774904",540,"33,75","6,977642868476432",349,"21,8125","2,5792137852454187","0,6656106566961109","0,11431530817030616","27,52831960251218","4,891228790170042"
