filtering_parameter,n_edges,modularity,criterion
"0,0",1321,"0,01500739964492856","7,233119908947675"
"0,05",1318,"0,01497769403948132","7,233119908947675"
"0,1",1312,"0,015055404034817199","6,828242187526867"
"0,15000000000000002",1255,"0,01939835566234735","6,828242187526867"
"0,2",1196,"0,02058781208124505","6,828242187526867"
"0,25",1155,"0,01912658625067995","7,627598195237484"
"0,30000000000000004",1108,"0,022864876814656626","6,880354126762219"
"0,35000000000000003",1058,"0,030952055096378633","6,490377103448977"
"0,4",1003,"0,03989965087904254","6,490377103448977"
"0,45",897,"0,060792861562100065","6,0179656471243845"
"0,5",793,"0,0877743945048447","5,693324472477077"
"0,55",658,"0,1295416013814425","4,9134503285441165"
"0,6000000000000001",525,"0,17093082424117156","4,994671010284298"
"0,65",430,"0,20741847182232007","4,816421602579498"
"0,7000000000000001",291,"0,20265862770760146","3,618916216846978"
"0,75",203,"0,27560857548822437","3,6402996285879903"
"0,8",135,"0,3345164366277221","3,808834775531644"
"0,8500000000000001",54,"0,3201511089129529","4,335578798109537"
"0,9",16,"0,41643737125456526","7,091275930087281"
"0,9500000000000001",3,"0,0","9,792868086147129"
"1,0",0,,"11,257213335057923"
"1,05",0,,"11,257213335057923"
