community,n_students,student_ids,n_students_with_correct_exercises,n_correct_exercises,correct_exercise_ids,mean_ns_correct_exercises,std_ns_correct_exercises,n_attempted_exercises,attempted_exercise_ids,mean_ns_attempted_exercises,std_ns_attempted_exercises,n_attemps,mean_ns_attemps,std_ns_attemps,n_correct_attemps,mean_ns_correct_attemps,std_ns_correct_attemps,mean_ps_correct_attemps_min_one,std_ps_correct_attemps_min_one,mean_mean_solving_times,std_mean_solving_times
0,19,"[4, 5, 7, 10, 12, 15, 18, 21, 24, 25, 34, 35, 36, 44, 48, 49, 52, 56, 57]",19,40,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 47, 54, 55, 57, 60, 61, 62, 63, 73, 74, 82, 99, 101, 107]","23,894736842105264","3,4927705311656965",40,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 36, 38, 41, 42, 43, 44, 45, 47, 54, 55, 57, 58, 59, 60, 61, 62, 63, 72, 73, 74, 82, 101, 107]","10,578947368421053","3,4927705311656965",828,"43,578947368421055","12,958702783818108",454,"23,894736842105264","3,4927705311656965","0,5844674193826898","0,15091214205036627","3274,1428361271396","429,8710025478494"
1,14,"[1, 3, 6, 9, 19, 22, 26, 31, 33, 38, 43, 45, 51, 53]",14,49,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 67, 71, 72, 73, 74, 82, 99, 101, 104, 107]","37,142857142857146","5,040651075536386",41,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 36, 38, 41, 42, 44, 46, 47, 54, 55, 57, 58, 59, 61, 62, 63, 64, 67, 71, 73, 74, 82, 99, 101, 104, 107]","10,5","5,040651075536386",772,"55,142857142857146","8,407965125464091",520,"37,142857142857146","5,040651075536386","0,6869767876699839","0,11937640682304539","2824,1462869476168","532,9320085534204"
2,2,"[27, 55]",2,5,"[1, 2, 3, 4, 82]","4,0","0,0",5,"[1, 2, 4, 7, 82]","3,0","0,0",27,"13,5","2,5",8,"4,0","0,0","0,3068181818181818","0,05681818181818182","3829,0","333,25"
3,2,"[47, 50]",2,12,"[1, 2, 4, 5, 7, 8, 14, 18, 55, 63, 62, 31]","10,0","0,0",16,"[1, 2, 4, 5, 38, 7, 8, 73, 10, 43, 18, 82, 55, 57, 63, 31]","10,0","0,0",56,"28,0","2,0",20,"10,0","0,0","0,358974358974359","0,02564102564102566","3763,0","126,0"
4,8,"[11, 28, 30, 32, 39, 40, 41, 54]",8,29,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 31, 33, 34, 35, 36, 42, 43, 44, 47, 54, 55, 61, 62, 63, 73, 74, 82, 99]","16,125","3,1399641717701177",29,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 24, 31, 33, 34, 38, 42, 44, 45, 47, 54, 55, 57, 62, 63, 73, 74, 82, 99]","8,125","3,1399641717701177",299,"37,375","26,081303169128645",129,"16,125","3,1399641717701177","0,5337216532487229","0,1692038091238847","3143,18011988012","565,7356572719095"
5,12,"[2, 8, 13, 14, 16, 20, 29, 37, 42, 46, 58, 59]",11,37,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 33, 34, 35, 36, 38, 39, 41, 42, 43, 45, 47, 54, 55, 57, 61, 62, 63, 73, 74, 82, 101, 104, 107]","5,916666666666667","5,1065045666178435",21,"[1, 2, 4, 7, 8, 10, 14, 18, 24, 31, 33, 34, 36, 41, 46, 54, 55, 57, 62, 82, 104]","3,0833333333333335","5,1065045666178435",147,"12,25","9,627434756984853",71,"5,916666666666667","5,1065045666178435","0,5142243867243868","0,2756974933674371","3908,518186062304","881,2965559304547"
