year,mean_stds_ns_solved_exercises,mean_stds_ns_attemps,mean_stds_means_edge_weights,mean_stds_mean_solving_times
2018,"2,1685097561349824","5,520157132294853","1,4862967387242867","4,379948821650612"
2019,"1,5507871475560038","5,098199357538521","1,3388298511548058","3,937287910208741"
2021,"3,1864485872622197","6,194927237398427","2,7620385921057715","3,062533982881581"
2022,"1,5101090714807164","3,7574500386401946","1,1466744647053306","3,919077286868009"
2023,"2,5840342030152255","2,831263614247917","1,9521431940364518","5,684012172054374"
