filtering_parameter,n_edges,modularity,criterion
"0,0",1481,"0,015417771862388956","8,722305132428424"
"0,05",1418,"0,01594317256232969","8,005819166740475"
"0,1",1311,"0,019630915230062468","8,312620115622055"
"0,15000000000000002",1201,"0,0226809276945818","7,989261763275944"
"0,2",1130,"0,020776559772192893","7,415000688027923"
"0,25",1060,"0,024918034324127494","7,104621930619252"
"0,30000000000000004",982,"0,030070292759549644","6,917462797988753"
"0,35000000000000003",907,"0,04546012243753178","6,620604708101578"
"0,4",849,"0,05461452951071921","6,699772896537714"
"0,45",743,"0,07509570889580561","4,887046834329449"
"0,5",661,"0,1036319512162314","4,763424703412573"
"0,55",558,"0,13492474271369764","5,35350242077304"
"0,6000000000000001",406,"0,21077810178701958","4,6712882404595915"
"0,65",298,"0,2538509452398467","3,867314404856444"
"0,7000000000000001",177,"0,3208973743878175","3,950057684031335"
"0,75",120,"0,39776246144302585","3,945040889946398"
"0,8",58,"0,4577540941350583","4,939298572657372"
"0,8500000000000001",19,"0,6162144787785814","6,4059214081463045"
"0,9",2,"0,4986149584487535","11,379942026356376"
"0,9500000000000001",0,,"12,007385057470563"
"1,0",0,,"12,007385057470563"
"1,05",0,,"12,007385057470563"
