community,n_students,student_ids,n_students_with_correct_exercises,n_correct_exercises,correct_exercise_ids,mean_ns_correct_exercises,std_ns_correct_exercises,n_attempted_exercises,attempted_exercise_ids,mean_ns_attempted_exercises,std_ns_attempted_exercises,n_attemps,mean_ns_attemps,std_ns_attemps,n_correct_attemps,mean_ns_correct_attemps,std_ns_correct_attemps,mean_ps_correct_attemps_min_one,std_ps_correct_attemps_min_one,mean_mean_solving_times,std_mean_solving_times
0,8,"[7, 18, 37, 46, 50, 54, 55, 58]",8,33,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 22, 31, 32, 33, 34, 35, 36, 39, 43, 47, 49, 54, 55, 56, 60, 61, 62, 63, 73, 82, 83, 94]","17,375","2,9973947020704497",33,"[1, 2, 3, 4, 7, 8, 9, 10, 14, 18, 24, 31, 32, 34, 35, 36, 39, 41, 42, 43, 44, 49, 54, 55, 56, 60, 61, 62, 63, 66, 73, 83, 94]","8,375","2,9973947020704497",263,"32,875","18,05849869175176",139,"17,375","2,9973947020704497","0,614707236809102","0,16324762357096792","3591,0915674603175","335,8586688312611"
1,3,"[14, 20, 48]",3,15,"[0, 1, 2, 3, 4, 5, 34, 7, 8, 9, 43, 14, 18, 82, 24]","10,666666666666666","0,4714045207910317",9,"[1, 2, 3, 34, 5, 7, 9, 14, 22]","4,333333333333333","0,4714045207910317",63,"21,0","2,943920288775949",32,"10,666666666666666","0,4714045207910317","0,5155228758169935","0,054156253003844954","3520,7666666666664","394,685458774741"
2,2,"[15, 49]",2,20,"[0, 1, 2, 3, 4, 7, 14, 18, 31, 32, 34, 36, 43, 44, 47, 55, 56, 62, 63, 73]","16,0","1,0",12,"[1, 34, 3, 2, 5, 9, 41, 42, 73, 14, 62, 31]","8,0","1,0",58,"29,0","3,0",32,"16,0","1,0","0,5540865384615384","0,022836538461538436","3223,9333333333334","22,933333333333394"
3,22,"[3, 4, 5, 6, 8, 9, 12, 13, 17, 21, 22, 23, 25, 27, 29, 30, 34, 39, 40, 44, 51, 56]",22,45,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 60, 61, 62, 63, 70, 71, 73, 74, 82, 83, 94, 101]","27,40909090909091","2,44315539097758",45,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 60, 61, 62, 63, 64, 70, 73, 74, 82, 83, 94, 101, 104]","10,363636363636363","2,44315539097758",1032,"46,90909090909091","9,79753721795381",603,"27,40909090909091","2,44315539097758","0,6094057740000559","0,1342396805155095","3172,372365275282","455,55372839761316"
4,15,"[2, 10, 16, 24, 26, 28, 32, 33, 35, 36, 38, 41, 42, 43, 45]",15,54,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 70, 71, 72, 73, 74, 82, 83, 93, 94, 101, 104]","40,86666666666667","4,828618389928485",45,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 66, 70, 71, 72, 73, 83, 94, 101, 104]","11,466666666666667","4,828618389928485",889,"59,266666666666666","7,056596598612929",613,"40,86666666666667","4,828618389928485","0,6966894252116885","0,10057880599398898","2577,455684962405","476,613344596063"
5,9,"[0, 1, 11, 19, 31, 47, 52, 53, 57]",9,35,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 47, 49, 54, 60, 61, 62, 63, 71, 73, 82, 94, 101]","10,666666666666666","4,08248290463863",26,"[1, 2, 3, 4, 5, 7, 8, 10, 14, 18, 24, 31, 32, 34, 35, 36, 41, 43, 44, 54, 56, 61, 62, 63, 82, 83]","6,333333333333333","4,08248290463863",181,"20,11111111111111","7,6368179010842585",96,"10,666666666666666","4,08248290463863","0,5632299801435957","0,18222823736505075","3340,7465975564014","707,4288134149347"
