community,n_students,student_ids,std_n_right_questions,mean_n_submissions,std_n_submissions,n_students_right,n_submissions_right,p_submissions_right,mean_mean_question_times,std_mean_question_times
0,13,"[0, 5, 14, 17, 18, 19, 21, 24, 28, 29, 35, 37, 38]",3.752711051584759,68.38461538461539,17.744071432619887,13,42.61538461538461,62.32,996.8869399972534,158.1522945465424
1,3,"[11, 13, 41]",0.816496580927726,20.666666666666668,2.8674417556808756,3,11.0,53.23,1294.2555555555555,311.2969956587645
2,10,"[2, 6, 7, 8, 9, 10, 26, 33, 39, 43]",3.5341194094144583,50.7,7.810889834071404,10,29.9,58.97,1228.1477158573293,266.7446052868523
3,2,"[27, 44]",0.5,10.5,5.5,2,3.5,33.33,2354.9583333333335,517.2916666666666
4,2,"[4, 30]",0.0,35.0,0.0,2,17.0,48.57,1768.4411764705883,215.73529411764707
5,3,"[20, 31, 45]",0.0,10.0,2.160246899469287,3,5.0,50.00,2681.733333333333,542.6001924888055
6,13,"[1, 3, 15, 16, 22, 23, 25, 32, 36, 40, 42, 47, 49]",6.381792281739725,22.615384615384617,13.000227581075775,11,12.0,45.52,1959.0622784468846,691.7675390218208
